<2024-01-08 15:54:20> Load machine configuration '../userdata/conf/machine.xml'
<2024-01-08 15:54:28> Load machine configuration '..\userdata\conf\machine_geov5.xml'
<2024-01-08 15:54:28> BT1 = X:-46.55967999999999, Y:13.754999999999994, T:-90.0, Val:CR2032, Mod:WURTH_CR2032_79527141
C1 = X:-58.466399000000024, Y:87.494321, T:180.0, Val:2.2uF 6.3V, Mod:C_0805_2012Metric
C2 = X:-66.59439900000002, Y:88.25632099999999, T:-90.0, Val:100nF, Mod:C_0805_2012Metric
C3 = X:-66.84839900000001, Y:71.74632099999998, T:180.0, Val:10nF, Mod:C_0805_2012Metric
C4 = X:-59.22839900000002, Y:71.74632099999998, T:0.0, Val:100nF, Mod:C_0805_2012Metric
C5 = X:-52.88079900000002, Y:81.521521, T:180.0, Val:18pF, Mod:C_0805_2012Metric
C6 = X:-64.56239900000001, Y:88.25632099999999, T:-90.0, Val:2.2uF 6.3V, Mod:C_0805_2012Metric
C7 = X:-52.88079900000002, Y:83.604321, T:180.0, Val:100nF, Mod:C_0805_2012Metric
C8 = X:-52.88079900000002, Y:74.917521, T:0.0, Val:18pF, Mod:C_0805_2012Metric
C9 = X:-70.404399, Y:75.30232099999999, T:90.0, Val:2.2uF 6.3V, Mod:C_0805_2012Metric
C10 = X:-47.498000000000005, Y:47.60999999999999, T:90.0, Val:10nF, Mod:C_0805_2012Metric
C11 = X:-60.516000000000005, Y:34.53599999999999, T:90.0, Val:100nF, Mod:C_0805_2012Metric
C12 = X:-45.61840000000001, Y:47.60999999999999, T:90.0, Val:1uF, Mod:C_0805_2012Metric
C13 = X:-57.366, Y:37.178, T:0.0, Val:4.7uF 16V, Mod:C_0805_2012Metric
C14 = X:-52.540000000000006, Y:29.93499999999999, T:-90.0, Val:12pF, Mod:C_0805_2012Metric
C15 = X:-57.366, Y:34.891999999999996, T:180.0, Val:100nF, Mod:C_0805_2012Metric
C16 = X:-50.0, Y:29.93499999999999, T:-90.0, Val:12pF, Mod:C_0805_2012Metric
C17 = X:-42.175, Y:38.39939999999999, T:0.0, Val:100nF, Mod:C_0805_2012Metric
C18 = X:-42.38000000000001, Y:43.34439999999999, T:0.0, Val:10nF, Mod:C_0805_2012Metric
C19 = X:-42.38000000000001, Y:45.3764, T:0.0, Val:10nF, Mod:C_0805_2012Metric
