Ref,Val,Package,PosX,PosY,Rot,Side
C201,100nF,C_0603_1608Metric,127.353472,-163.576,0,top
C203,10uF,C_0805_2012Metric,123.543473,-148.209,0,top
C204,10uF,C_0805_2012Metric,123.543473,-150.241,0,top
C205,100nF,C_0603_1608Metric,123.543473,-144.907,0,top
C206,100pF,C_0603_1608Metric,123.543473,-146.431,0,top
C207,10uF,C_0805_2012Metric,119.606473,-159.893,0,top
C208,10uF,C_0805_2012Metric,119.606472,-162.052,0,top
C209,10uF,C_0805_2012Metric,119.606472,-164.084001,0,top
C210,10uF,C_0805_2012Metric,119.606473,-166.116,0,top
C211,100pF,C_0603_1608Metric,123.670472,-159.639,180,top
C212,10uF,C_0805_2012Metric,128.369472,-157.988,0,top
C213,NM,C_0603_1608Metric,132.687472,-164.338,-90,top
C214,1uF,C_0603_1608Metric,117.726471,-137.461,0,top
C215,100nF,C_0603_1608Metric,117.726471,-128.317,0,top
C301,10uF,C_0805_2012Metric,127.734472,-203.327,-90,top
C302,100nF,C_0603_1608Metric,125.829472,-203.073,90,top
C303,NM,R_0603_1608Metric,103.223472,-175.641,0,top
C304,NM,R_0603_1608Metric,103.223472,-180.213,180,top
C305,100nF,C_0603_1608Metric,111.859472,-158.242,0,top
C306,1uF,C_0603_1608Metric,126.591472,-199.136,0,top
C401,10uF,C_0805_2012Metric,136.256472,-172.085,180,top
C402,10uF,C_0805_2012Metric,136.256472,-174.117,180,top
C403,100nF,C_0603_1608Metric,136.002472,-175.895,180,top
C404,100nF,C_0603_1608Metric,140.815472,-181.978,180,top
C405,100nF,C_0603_1608Metric,140.815472,-185.534,180,top
C406,100nF,C_0603_1608Metric,140.815472,-187.058,180,top
C407,100nF,C_0603_1608Metric,135.608472,-189.357,90,top
C408,100nF,C_0603_1608Metric,131.544472,-189.357,90,top
C409,100nF,C_0603_1608Metric,141.130472,-175.895,180,top
C410,10uF,C_0805_2012Metric,141.384472,-174.117,180,top
C411,10uF,C_0805_2012Metric,141.384472,-172.085,180,top
C412,100nF,C_0603_1608Metric,131.544472,-200.421,90,top
C413,10nF,C_0603_1608Metric,137.767472,-202.326,90,top
C414,10uF,C_0805_2012Metric,125.702472,-177.927,0,top
C415,100nF,C_0603_1608Metric,125.829472,-179.832,0,top
C416,10nF,C_0603_1608Metric,142.466472,-202.311,-90,top
C417,1nF/2kV,C_1206_3216Metric,145.895472,-199.024,-90,top
C418,20pF,C_0603_1608Metric,132.624472,-174.244,0,top
C419,10nF,C_0603_1608Metric,139.418472,-202.326,90,top
C420,20pF,C_0603_1608Metric,132.560472,-168.402,180,top
C421,10nF,C_0603_1608Metric,140.815472,-180.454,180,top
C422,4.7uF,C_0805_2012Metric,141.069472,-183.756,180,top
C501,100nF,C_0603_1608Metric,101.445472,-144.767,90,top
C502,7pF,C_0603_1608Metric,101.848472,-136.79,-90,top
C503,7pF,C_0603_1608Metric,96.218472,-136.79,-90,top
C601,100nF,C_0603_1608Metric,152.499472,-170.053,180,top
C701,100nF,C_0603_1608Metric,157.579472,-112.141,180,top
C702,100nF,C_0603_1608Metric,158.214472,-122.047,90,top
C703,100nF,C_0603_1608Metric,158.214472,-131.826,90,top
C704,100nF,C_0603_1608Metric,158.214472,-142.24,90,top
C705,100nF,C_0603_1608Metric,158.214472,-152.4,90,top
C706,100nF,C_0603_1608Metric,158.214472,-162.56,90,top
C707,100nF,C_0603_1608Metric,158.214472,-172.72,90,top
C708,100nF,C_0603_1608Metric,158.214472,-182.88,90,top
C709,100nF,C_0603_1608Metric,158.214472,-193.04,90,top
C710,100nF,C_0603_1608Metric,153.261471,-198.628,0,top
C801,100nF,C_0603_1608Metric,140.718472,-115,180,top
C802,100nF,C_0603_1608Metric,130.468472,-115,180,top
C803,10nF,C_0603_1608Metric,107.468472,-117,180,top
C804,100nF,C_0603_1608Metric,108.968472,-115.5,180,top
C805,10nF,C_0603_1608Metric,110.468472,-117,180,top
C806,10nF,C_0603_1608Metric,114.098472,-117.01,180,top
C807,100nF,C_0603_1608Metric,115.608472,-115.5,180,top
C808,10nF,C_0603_1608Metric,117.108472,-117,180,top
C809,100nF,C_0603_1608Metric,117.208472,-122.775,90,top
C810,100nF,C_0603_1608Metric,117.198472,-119.75,-90,top
C811,100nF,C_0603_1608Metric,123.928472,-128.43,0,top
C812,100nF,C_0603_1608Metric,107.128472,-120.39,90,top
C813,100pF,C_0603_1608Metric,123.908472,-130.136,0,top
C814,100nF,C_0603_1608Metric,106.468472,-123,180,top
C815,1uF,C_0603_1608Metric,122.468472,-137.5,180,top
C901,100nF,C_0603_1608Metric,138.656472,-166.116,-90,top
C902,100nF,C_0603_1608Metric,144.752472,-166.116,-90,top
D201,MBR0530,D_SOD-123,129.893472,-147.447,180,top
D202,MBR0530,D_SOD-123,140.561472,-146.685,-90,top
D203,30V,D_SMA,134.592472,-153.924,-90,top
D601,12V,SOT-23,146.530472,-178.943,180,top
D701,30V,D_SMA,173.708472,-110.49,180,top
D702,30V,D_SMA,173.708472,-120.523,180,top
D703,30V,D_SMA,173.708472,-130.556,180,top
D704,30V,D_SMA,173.708472,-140.97,180,top
D705,30V,D_SMA,173.708472,-151.13,180,top
D706,30V,D_SMA,173.708472,-161.29,180,top
D707,30V,D_SMA,173.708472,-171.45,180,top
D708,30V,D_SMA,173.708472,-181.61,180,top
D709,30V,D_SMA,173.708472,-191.77,180,top
D710,30V,D_SMA,173.708472,-201.93,180,top
